shootStartTime,playerMovementBool,playerReactionTime,bulletHitTime,bulletHitPlayerCheck,shootEndTime,spawnerIndex,shootMode,shieldActive,session_type,user_id
6435.35742,True,1.77148438,0.0,False,6441.17236,4,True,True,estereo,1538ATL-3
6447.1875,True,1.27001953,6449.96143,True,6451.69775,5,True,True,estereo,1538ATL-3
6483.87939,True,1.50292969,0.0,False,6489.694,6,True,True,estereo,1538ATL-3
6495.441,True,1.50292969,0.0,False,6499.51855,2,False,True,estereo,1538ATL-3
6507.004,True,1.30273438,0.0,False,6511.714,7,True,True,estereo,1538ATL-3
6519.803,True,1.73535156,0.0,False,6525.61572,8,True,True,estereo,1538ATL-3
6531.59961,True,1.03417969,6532.67041,True,6536.10938,1,True,True,estereo,1538ATL-3
6544.298,True,1.10253906,0.0,False,6549.00732,3,True,True,estereo,1538ATL-3
6555.457,True,1.77246094,0.0,False,6560.169,7,True,True,estereo,1538ATL-3
6567.28662,True,1.43798828,0.0,False,6573.10156,6,True,True,estereo,1538ATL-3
6578.783,True,1.87011719,6580.588,True,6584.594,4,True,True,estereo,1538ATL-3
6592.21729,True,1.26806641,0.0,False,6598.03027,8,True,True,estereo,1538ATL-3
6603.576,True,2.04248047,0.0,False,6608.089,5,False,True,estereo,1538ATL-3
6615.675,True,1.36914063,0.0,False,6621.489,6,True,True,estereo,1538ATL-3
6628.77344,True,1.77587891,0.0,False,6633.48633,7,True,True,estereo,1538ATL-3
6640.603,True,1.10205078,0.0,False,6646.41943,2,True,True,estereo,1538ATL-3
6653.602,True,1.43847656,6656.345,True,6658.114,1,True,True,estereo,1538ATL-3
430.7868,True,2.55062866,432.612366,True,435.479431,3,True,False,estereo,7919CMA-1
444.3038,True,2.03793335,446.1042,True,448.8094,1,True,False,estereo,7919CMA-1
457.774,True,2.86499023,459.573364,True,462.2816,5,True,False,estereo,7919CMA-1
471.2196,True,3.53714,0.0,False,475.250183,6,False,False,estereo,7919CMA-1
484.9295,True,2.101471,486.7292,True,489.597473,7,True,False,estereo,7919CMA-1
498.3377,True,2.37017822,500.1724,True,504.1749,2,True,False,estereo,7919CMA-1
511.817719,True,2.10012817,513.6143,True,517.620239,8,True,False,estereo,7919CMA-1
538.4418,False,5.83081055,540.272644,True,544.2726,4,True,False,estereo,7919CMA-1
548.881653,True,4.60333252,550.721863,True,553.591064,3,True,False,estereo,7919CMA-1
563.5278,True,2.63635254,565.3677,True,568.0343,5,True,False,estereo,7919CMA-1
574.009338,True,2.36895752,575.8129,True,578.4744,1,False,False,estereo,7919CMA-1
594.0624,True,2.664734,595.9002,True,599.8685,4,True,False,estereo,7919CMA-1
618.1818,False,4.703491,620.0121,True,622.8853,3,True,False,estereo,7919CMA-1
628.626953,False,4.067566,0.0,False,632.6945,8,False,False,estereo,7919CMA-1
635.6375,False,5.804016,0.0,False,641.4415,2,True,True,estereo,7919CMA-1
648.4551,False,4.696167,0.0,False,653.151245,7,False,True,estereo,7919CMA-1
